station_id,timestamp,bikes_available,docks_available,is_renting,is_returning
5785.05,2026-07-13 18:22:42+00:00,0,0,0,0
5216.06,2026-07-13 18:22:42+00:00,0,0,0,0
5788.15,2026-07-13 18:22:42+00:00,0,0,0,0
7983.02,2026-07-13 18:22:42+00:00,0,0,0,0
7883.06,2026-07-13 18:22:42+00:00,0,0,0,0
5656.03,2026-07-13 18:22:42+00:00,0,0,0,0
3671.02,2026-07-13 18:22:42+00:00,0,0,0,0
3398.02,2026-07-13 18:22:42+00:00,0,0,0,0
3510.06,2026-07-13 18:22:42+00:00,0,0,0,0
3655.06,2026-07-13 18:22:42+00:00,0,0,0,0
3437.03,2026-07-13 18:22:42+00:00,0,0,0,0
3766.02,2026-07-13 18:22:42+00:00,0,0,0,0
3550.05,2026-07-13 18:22:42+00:00,0,0,0,0
3623.03,2026-07-13 18:22:42+00:00,0,0,0,0
3518.04,2026-07-13 18:22:42+00:00,0,0,0,0
3478.04,2026-07-13 18:22:42+00:00,0,0,0,0
3663.01,2026-07-13 18:22:42+00:00,0,0,0,0
3678.05,2026-07-13 18:22:42+00:00,0,0,0,0
3646.04,2026-07-13 18:22:42+00:00,0,0,0,0
4157.10,2026-07-13 18:22:42+00:00,0,0,0,0
5613.04,2026-07-13 18:22:42+00:00,0,0,0,0
6887.03,2026-07-13 18:22:42+00:00,0,0,0,0
3834.10,2026-07-13 18:22:42+00:00,10,10,1,1
8325.08,2026-07-13 18:22:42+00:00,5,13,1,1
4023.01,2026-07-13 18:22:42+00:00,18,3,1,1
4013.08,2026-07-13 18:22:42+00:00,24,10,1,1
4386.07,2026-07-13 18:22:42+00:00,0,24,1,1
6920.05,2026-07-13 18:22:42+00:00,2,36,1,1
3731.11,2026-07-13 18:22:42+00:00,12,11,1,1
8741.01,2026-07-13 18:22:42+00:00,20,0,1,1
3022.01,2026-07-13 18:22:42+00:00,18,3,1,1
7925.04,2026-07-13 18:22:42+00:00,18,0,1,1
7883.09,2026-07-13 18:22:42+00:00,14,5,1,1
3862.07,2026-07-13 18:22:42+00:00,3,18,1,1
5945.01,2026-07-13 18:22:42+00:00,14,6,1,1
5794.05,2026-07-13 18:22:42+00:00,23,29,1,1
